Gene,Entrez,Fold change
ARL1,400,7.22E-01
CLCC1,23155,3.81E-01
TPRKB,51002,7.73E-01
TMTC3,160418,3.97E-01
ANKFY1,51479,-5.74E-01
SOS2,6655,-5.94E-01
MAP4K3,8491,7.31E-01
LOC100505490,100505490,4.99E-01
STMN3,50861,1.68
PCK1,5105,-2.23
CACNA1A,773,-3.20E-01
RPL34,6164,3.55E-01
KIAA1468,57614,-8.41E-01
OAZ1,4946,5.17E-01
ZNF638,27332,4.49E-01
SLC7A2,6542,-7.32E-01
ZNF507,22847,5.59E-01
KRT9,3857,-2.34E-01
DNAJB2,3300,-4.22E-01
CAPN10-AS1,101752400,2.52E-01
UGGT1,56886,5.47E-01
ARL6IP5,10550,-7.29E-01
NEURL4,84461,-3.25E-01
SLC38A7,55238,4.45E-01
RABEP2,79874,-5.10E-01
LOC100506979,100506979,-6.56E-01
HACE1,57531,7.03E-01
SLTM,79811,-3.39E-01
FAM212B-AS1,100506343,-1.69E-01
PTRH1,138428,8.84E-01
PARG,8505,4.00E-01
CA8,767,-1.93E-01
SERINC2,347735,-1.29
CXCL5,6374,2.75
CEP95,90799,4.66E-01
STX17,55014,3.27E-01
COMMD6,170622,6.96E-01
MCF2L,23263,-9.56E-01
RNF216,54476,3.34E-01
IL16,3603,-4.13E-01
ACLY,47,5.51E-01
UBALD1,124402,-3.41E-01
HINT3,135114,7.98E-01
FEZF2,55079,-2.05E-01
SLC35F5,80255,3.92E-01
CECR1,51816,-1.07
LMO1,4004,-2.37E-01
DDX1,1653,5.15E-01
FAF1,11124,-2.92E-01
PTPRJ,5795,-9.18E-01
Sep-11,55752,-5.84E-01
ARMCX5,64860,6.52E-01
MYLIP,29116,5.77E-01
OPHN1,4983,-2.94E-01
BSND,7809,-2.99E-01
FXN,2395,7.38E-01
DEPDC1,55635,1
CELF2,10659,-6.59E-01
COL12A1,1303,1.45
OXSM,54995,5.13E-01
SPAG9,9043,-6.37E-01
BCKDHB,594,7.60E-01
GLDN,342035,-2.33
FDCSP,260436,-1.9
ONECUT2,9480,3.21E-01
LOC100506395,100506395,5.70E-01
HADH,3033,-7.43E-01
RPP25L,138716,3.23E-01
ZCCHC11,23318,7.05E-01
KARS,3735,5.53E-01
USP47,55031,6.38E-01
VPS13B,157680,6.31E-01
ZCCHC2,54877,-6.00E-01
CMKLR1,1240,-4.01E-01
SLC22A25,387601,2.86E-01
ALKBH5,54890,-4.75E-01
LMLN,89782,5.76E-01
FKBP9,11328,4.64E-01
GRPEL1,80273,7.19E-01
SLC29A1,2030,8.90E-01
C11orf24,53838,-5.48E-01
ECI2,10455,-9.63E-01
AQP7,364,-5.07E-01
HIST1H4B,8366,3.65E-01
OPA3,80207,-3.01E-01
GYLTL1B,120071,7.82E-01
VPS9D1-AS1,100128881,2.93E-01
GNPDA2,132789,8.11E-01
RUFY2,55680,-1.06
KCNAB1,7881,-2.75E-01
C10orf88,80007,4.56E-01
LHX5,64211,-2.44E-01
TRABD2B,388630,-2.80E-01
NOL6,65083,5.27E-01
MME,4311,1.6
RGS2,5997,-1.8
NDUFAF2,91942,6.91E-01
CALML4,91860,-9.82E-01
PRKCSH,5589,-2.68E-01
FAM98B,283742,7.36E-01
C1orf56,54964,5.78E-01
PRMT2,3275,-2.05E-01
ARHGAP15,55843,-8.51E-01
GYS1,2997,-5.31E-01
EMD,2010,3.98E-01
FOXD2-AS1,84793,-3.33E-01
SCAP,22937,-4.51E-01
BFSP1,631,5.87E-01
EPC1,80314,-5.18E-01
CLCN4,1183,1.02
CRB3,92359,-5.56E-01
WWC3,55841,9.67E-01
CCDC15,80071,3.74E-01
COTL1,23406,-8.38E-01
LMO2,4005,-9.80E-01
SP110,3431,-5.90E-01
PODN,127435,-1.88E-01
MADD,8567,-4.00E-01
HGD,3081,-1.41
ERMARD,55780,5.31E-01
LOC100129884,100129884,5.88E-01
SPICE1,152185,7.55E-01
KRBOX4,55634,8.24E-01
NANS,54187,-9.82E-01
AGTRAP,57085,5.92E-01
LINC01121,400952,-2.08E-01
NHP2,55651,8.40E-01
ARL6,84100,3.59E-01
PAPSS1,9061,6.73E-01
CETN3,1070,8.36E-01
EBNA1BP2,10969,7.79E-01
NT5E,4907,-1.1
PSMD6-AS2,100507062,-7.29E-01
IFT81,28981,9.05E-01
FOXC1,2296,1.24
MITD1,129531,6.86E-01
CRISPLD2,83716,-1.36
TP73-AS1,57212,-9.41E-01
PSMC2,5701,4.70E-01
FAM206A,54942,4.31E-01
MATN1,4146,-1.94E-01
SNUPN,10073,4.69E-01
SLC35C2,51006,5.63E-01
PSRC1,84722,8.42E-01
AKR1E2,83592,2.46E-01
MOB2,81532,-5.82E-01
FAM65B,9750,-7.96E-01
PCBD2,84105,6.30E-01
HPX,3263,-3.21E-01
CUL1,8454,6.38E-01
ATP2C1,27032,4.86E-01
RPUSD4,84881,6.95E-01
STAP1,26228,-8.45E-01
AQP3,360,-2.54E-01
TRIM11,81559,-2.20E-01
ENPP2,5168,-1.66
PROX2,283571,-1.79E-01
CYP2F1,1572,-1.78E-01
HMGCS2,3158,-1.71
FBXL16,146330,7.41E-01
C11orf80,79703,8.24E-01
LOC100287024,100287024,-6.61E-01
MCM10,55388,7.08E-01
KRT37,8688,-2.22E-01
ZNF782,158431,4.87E-01
SEMA3E,9723,-3.39E-01
HECA,51696,-6.65E-01
ESCO2,157570,-1.96E-01
SPINK2,6691,-7.43E-01
RTEL1-TNFRSF6B,100533107,1.45
ZNF580,51157,-6.18E-01
NR1H2,7376,-5.64E-01
MED30,90390,6.16E-01
RTP3,83597,-2.45E-01
FLCN,201163,-5.14E-01
XPNPEP1,7511,-7.07E-01
ZBTB24,9841,5.04E-01
CDC25C,995,9.64E-01
LOC100506589,100506589,-6.72E-01
RET,5979,-2.43E-01
DNAJC3,5611,7.66E-01
CAPN15,6650,-7.58E-01
TMPO-AS1,100128191,2.77E-01
PTTG1,9232,1.18
C11orf57,55216,5.64E-01
SCP2D1,140856,-2.02E-01
DCAF10,79269,5.26E-01
ACSS2,55902,-8.41E-01
ERRFI1,54206,-1
CEP350,9857,5.60E-01
ZMAT1,84460,-1.76E-01
GPR18,2841,-8.64E-01
EIF3G,8666,6.17E-01
GRIN2A,2903,-2.01E-01
TMOD3,29766,-6.16E-01
CNTN4,152330,-1.3
RNF213,57674,5.30E-01
C2orf15,150590,5.19E-01
GAPT,202309,-3.75E-01
RIOK2,55781,6.73E-01
CPNE7,27132,5.42E-01
NEURL1B,54492,-9.25E-01
ATL2,64225,5.62E-01
SZT2,23334,-3.45E-01
SS18L2,51188,5.51E-01
ARHGAP30,257106,-6.71E-01
ECH1,1891,-9.40E-01
WASL,8976,-6.05E-01
NTRK2,4915,-1.07
TTTY7,246122,-1.51E-01
SLC11A1,6556,-2.34E-01
EIF3A,8661,5.57E-01
DVL3,1857,-2.99E-01
CLP1,10978,-1.89E-01
CNOT1,23019,9.31E-01
PSMD5-AS1,253039,9.20E-01
VWA9,81556,3.43E-01
ZNF133,7692,7.52E-01
LOC100131662,100131662,-2.34E-01
JUN,3725,8.62E-01
AQR,9716,4.62E-01
NIPSNAP1,8508,4.14E-01
LOC100288224,100288224,-1.89E-01
HBE1,3046,-2.56E-01
CHTOP,26097,2.22E-01
MPV17,4358,5.24E-01
EGR1,1958,-9.14E-01
RAB27B,5874,-1.49
POLR3E,55718,8.14E-01
MPC2,25874,-7.35E-01
BHLHE40,8553,9.09E-01
TRIM65,201292,2.47E-01
GTF2E1,2960,5.00E-01
CCDC43,124808,4.96E-01
FOXP1,27086,-6.12E-01
NEFL,4747,-2.71E-01
TMEM235,283999,-2.05E-01
SIGLEC17P,284367,-4.12E-01
OGFR,11054,3.36E-01
CLK3,1198,-4.32E-01
SLC4A7,9497,5.02E-01
PLAC8,51316,-2.52
EXO1,9156,5.68E-01
SHB,6461,-2.80E-01
UNC45A,55898,-2.97E-01
AP1G1,164,-5.71E-01
COA5,493753,5.93E-01
GNB2L1,10399,7.34E-01
CNTN5,53942,-1.65E-01
CIB1,10519,-7.60E-01
MB21D1,115004,8.29E-01
KLK2,3817,-2.59E-01
TAF15,8148,5.57E-01
STRN4,29888,-3.34E-01
IRF5,3663,-2.72E-01
RBMXL1,494115,5.98E-01
MMP11,4320,1.31
LINC00672,100505576,-6.10E-01
SLC25A25-AS1,100289019,-1.09
STH,246744,-2.72E-01
LOC285074,285074,8.16E-01
LOC727916,727916,-7.59E-01
MPPED2,744,-1.73E-01
RTCB,51493,-3.87E-01
TSEN34,79042,3.40E-01
TAS1R1,80835,-2.04E-01
PPP2R4,5524,-3.68E-01
ACOX3,8310,-5.68E-01
SNRPA,6626,6.67E-01
ITLN1,55600,-3.25
LRPAP1,4043,-3.96E-01
JAK1,3716,6.03E-01
MYD88,4615,-6.65E-01
FAM120C,54954,3.19E-01
HUWE1,10075,2.05E-01
AGR2,10551,-1.9
LOC100288447,100288447,-1.70E-01
LOC101929765,101929765,-2.19E-01
DYX1C1,161582,8.33E-01
PRKD2,25865,-3.91E-01
ABCF2,10061,7.16E-01
ATP1B1,481,-4.51E-01
NHSL1,57224,-1
LUC7L3,51747,4.58E-01
BAALC,79870,-2.24E-01
LIN7B,64130,-4.50E-01
CLLU1,574028,-2.76E-01
RCC1,1104,7.19E-01
OAS2,4939,6.68E-01
CCDC82,79780,5.38E-01
ZNF317,57693,4.59E-01
EDNRA,1909,1.62
PKP1,5317,5.65E-01
GPR98,84059,-5.54E-01
GLA,2717,7.04E-01
BARD1,580,9.27E-01
PLK3,1263,-2.19E-01
ACAP2,23527,-1
BEX4,56271,-1.5
PLEKHH3,79990,-2.54E-01
LIMK1,3984,2.25E-01
ALDH16A1,126133,-5.47E-01
LY6E,4061,1.12
PTTG3P,26255,3.53E-01
ANAPC13,25847,5.10E-01
CREB1,1385,5.77E-01
GNE,10020,-1.54
MRPS35,60488,5.41E-01
TRNAU1AP,54952,-3.45E-01
GFOD1,54438,-4.01E-01
FAM47E-STBD1,100631383,-1.09
GPX1,2876,5.68E-01
SH3GL3,6457,-2.92E-01
SOD2,6648,1.06
MMD,23531,5.28E-01
SNX29,92017,-2.20E-01
NFKBIA,4792,-6.82E-01
ZNF449,203523,7.51E-01
WISP1,8840,1.36
DICER1,23405,-2.66E-01
CD81-AS1,101927682,-2.89E-01
MAPRE2,10982,-7.09E-01
RAB3D,9545,-2.41E-01
XRCC2,7516,6.29E-01
SLAMF7,57823,-7.32E-01
FAM98C,147965,-3.58E-01
CDCA2,157313,7.58E-01
SIAH1,6477,4.55E-01
CDK20,23552,-4.48E-01
CIB2,10518,-2.02E-01
SFXN4,119559,7.42E-01
SDPR,8436,-1.85
ACAA2,10449,-9.42E-01
C7orf50,84310,7.98E-01
FGFRL1,53834,3.29E-01
KCNT2,343450,-4.50E-01
EEPD1,80820,3.37E-01
GON4L,54856,9.88E-01
OBFC1,79991,-3.87E-01
EHD4,30844,-9.12E-01
LOC728485,728485,-2.41E-01
IGHV1-69,28461,-1.35E-01
C1orf122,127687,-4.93E-01
IQSEC2,23096,-2.52E-01
F11R,50848,-1.25
RABEP1,9135,-2.70E-01
TRIP4,9325,-5.03E-01
NCL,4691,6.55E-01
GK5,256356,-4.42E-01
HAUS7,55559,7.15E-01
EMR2,30817,3.39E-01
C1orf131,128061,6.00E-01
GAA,2548,-4.34E-01
CRLS1,54675,8.52E-01
SGCB,6443,2.63E-01
KIAA1586,57691,6.56E-01
HJURP,55355,9.67E-01
SLC22A15,55356,9.97E-01
CACNA1D,776,1.22
EIF3C,8663,5.50E-01
EP300,2033,4.12E-01
MYOT,9499,-8.42E-01
BANP,54971,3.72E-01
MRPL40,64976,4.94E-01
RASSF5,83593,-7.74E-01
DPM3,54344,-5.36E-01
WDR54,84058,8.55E-01
NIF3L1,60491,5.93E-01
SLC7A1,6541,1.02
PLOD3,8985,4.44E-01
ZNF649,65251,2.52E-01
C6orf123,353268,6.29E-01
CDR2L,30850,4.00E-01
LOC441178,441178,2.38E-01
ATP1B3,483,-6.37E-01
RICTOR,253260,4.46E-01
RECK,8434,-1.4
CCDC134,79879,6.60E-01
LOC101926913,101926913,1.16
TG,7038,7.48E-01
UACA,55075,-6.52E-01
RIPK3,11035,-7.59E-01
METTL9,51108,4.71E-01
TCEANC2,127428,2.89E-01
LOC100506325,100506325,6.62E-01
MED15,51586,-4.31E-01
PDDC1,347862,5.49E-01
C6orf106,64771,5.11E-01
LOC100507560,100507560,-2.27E-01
ATP5E,514,4.35E-01
DOCK4,9732,-8.55E-01
CCR2,729230,-7.35E-01
GPATCH4,54865,7.84E-01
MICU1,10367,-3.95E-01
SUPT6H,6830,-3.10E-01
TUBGCP6,85378,-3.35E-01
LEO1,123169,-5.93E-01
CSNK1D,1453,-5.20E-01
CXCL11,6373,2.12
SH2B3,10019,-7.23E-01
RNF115,27246,7.12E-01
CD69,969,-1.31
TTC28-AS1,284900,6.17E-01
TCN2,6948,-5.53E-01
DDX50,79009,-2.03E-01
CCNF,899,5.19E-01
CMTM3,123920,-2.64E-01
GPD1,2819,-1.96E-01
GALNT3,2591,-2.63E-01
NRD1,4898,3.15E-01
CACTIN,58509,2.74E-01
TCEAL3,85012,-1.32
C20orf195,79025,3.55E-01
PPP2R5C,5527,7.29E-01
SPTSSA,171546,-5.37E-01
XRN1,54464,-8.58E-01
DNASE1,1773,8.21E-01
TMEM37,140738,-5.09E-01
FBXO4,26272,7.12E-01
ARG2,384,-4.40E-01
RASEF,158158,-1.52E-01
TMEM158,25907,1.09
C6orf47,57827,-3.31E-01
GOLGB1,2804,-3.62E-01
STYXL1,51657,4.95E-01
KRT17P5,339240,-2.09E-01
ALDH2,217,-5.10E-01
SEMA3C,10512,4.65E-01
ZNF416,55659,5.41E-01
ENDOV,284131,-3.04E-01
WWTR1-AS1,100128025,-2.66E-01
KLK15,55554,-1.11
TADA3,10474,-5.50E-01
PTGFR,5737,-3.33E-01
IGLJ3,28831,-8.55E-01
ANKRD39,51239,6.17E-01
UMPS,7372,7.43E-01
LOC101927722,101927722,-2.10E-01
LOC643201,643201,-2.60E-01
MAP3K4,4216,4.90E-01
NDUFS2,4720,-5.54E-01
RERGL,79785,-1.02
MAATS1,89876,-2.01E-01
THUMPD3-AS1,440944,6.47E-01
ARF4,378,-4.67E-01
C14orf79,122616,2.92E-01
FASTK,10922,-2.86E-01
RC3H2,54542,4.01E-01
GMEB1,10691,-5.93E-01
RBCK1,10616,7.55E-01
DDX51,317781,5.41E-01
ETV5,2119,2.38E-01
HNRNPA1,3178,6.79E-01
CELSR1,9620,8.41E-01
ZNF766,90321,5.05E-01
LRRIQ3,127255,2.47E-01
CYTH2,9266,-5.73E-01
LAMC1,3915,7.20E-01
IFNLR1,163702,-2.41E-01
FER1L4,80307,9.95E-01
FAM192A,80011,4.15E-01
SPOCK2,9806,-6.87E-01
THRSP,7069,-1.65E-01
PRPF38A,84950,4.02E-01
GINS1,9837,1.58
SIRPG,55423,-2.40E-01
WIBG,84305,-3.84E-01
COX8A,1351,-5.39E-01
ZNF600,162966,9.56E-01
EIF4E2,9470,-5.51E-01
MAP1S,55201,-5.39E-01
STOX1,219736,5.72E-01
SON,6651,4.89E-01
MTRR,4552,7.05E-01
TLR7,51284,-4.44E-01
EIF4G1,1981,5.66E-01
NPHP4,261734,4.98E-01
EIF2S1,1965,5.31E-01
OAZ3,51686,-4.68E-01
ZIC2,7546,2.13
TXNDC12,51060,5.12E-01
GZMB,3002,1.9
APBB1IP,54518,-8.23E-01
GNB1L,54584,3.78E-01
SLC25A46,91137,-7.54E-01
MISP,126353,-9.62E-01
TSPAN1,10103,-2.05
NCAPG,64151,1.25
MUC1,4582,-1.16
LOC100288092,100288092,1.34
SPATC1,375686,2.05E-01
TMEM151B,441151,-2.70E-01
HTATSF1P2,401233,2.79E-01
IGHG1,3500,-2.09E-01
TNS1,7145,-2.09
MCMBP,79892,7.26E-01
GLRX3,10539,8.03E-01
CDCA5,113130,1.03
ZNF32,7580,9.23E-01
TUBAL3,79861,-1.66
RNF138,51444,-6.25E-01
ROS1,6098,-1.54E-01
MYO1A,4640,-1.23
C1GALT1C1,29071,6.93E-01
GRM2,2912,-2.59E-01
CWC27,10283,5.62E-01
PPP1R26-AS1,100506599,3.37E-01
ERAP1,51752,-4.05E-01
GPR27,2850,-9.67E-01
ARL4C,10123,1.18
LOC101929607,101929607,-1.94E-01
SLC34A3,142680,-1.73E-01
COL7A1,1294,7.20E-01
IQGAP1,8826,5.74E-01
ANKRD55,79722,-2.58E-01
ARHGAP10,79658,-6.18E-01
LOC100506142,100506142,-1.67E-01
CDHR3,222256,-3.05E-01
PPP1R2,5504,5.28E-01
LOC100288238,100288238,-1.66E-01
RAB40B,10966,-4.78E-01
SLC25A45,283130,-5.95E-01
SEC23IP,11196,4.91E-01
ECSCR,641700,-4.73E-01
ZNF605,100289635,7.70E-01
ZC3H6,376940,2.94E-01
CA5BP1,340591,6.95E-01
CIT,11113,5.89E-01
SEL1L2,80343,-2.00E-01
MRPS30,10884,8.52E-01
PRKAG2-AS1,100505483,-9.83E-01
LINC01504,100507540,-2.84E-01
SSX2IP,117178,9.11E-01
MKRN1,23608,-4.72E-01
TRPC4,7223,-1.74E-01
C6orf226,441150,-4.11E-01
SOX10,6663,-5.44E-01
HSPBAP1,79663,5.73E-01
LOC100286925,100286925,-4.51E-01
RAB22A,57403,7.19E-01
PRM2,5620,1.82E-01
ZNHIT3,9326,7.38E-01
TUBB4B,10383,-5.81E-01
FKBP14,55033,3.05E-01
SNTG2,54221,-2.35E-01
FAM24A,118670,-1.85E-01
TTC12,54970,3.16E-01
PSMB9,5698,1.08
PLEKHB1,58473,1.69
SLC16A5,9121,-9.29E-01
GBP3,2635,-1.53
PPP3CA,5530,-4.41E-01
EFNA4,1945,8.48E-01
THOC1,9984,3.93E-01
IAH1,285148,8.29E-01
ICAM1,3383,5.33E-01
LOC100506992,100506992,3.68E-01
ZNF609,23060,-3.27E-01
LONP2,83752,-4.49E-01
CYP3A43,64816,-4.84E-01
IMMP1L,196294,5.81E-01
SAMD11,148398,-2.12E-01
GAS6-AS1,650669,7.57E-01
SH3GL1P2,6459,-2.48E-01
STAT6,6778,-3.92E-01
PTP4A3,11156,1.22
RDH13,112724,-6.52E-01
SLC26A4-AS1,286002,-1.57E-01
NBPF11,200030,6.95E-01
TAF9B,51616,8.93E-01
MEA1,4201,3.97E-01
RAB5C,5878,-3.02E-01
VASH2,79805,1.06
SHC1P1,6465,-2.25E-01
TMEM185B,79134,1
ARHGAP20,57569,-3.62E-01
GPCPD1,56261,9.52E-01
ABHD3,171586,-1.16
DSG3,1830,2.19
KLHL1,57626,-1.51E-01
BEND3,57673,4.79E-01
BCL2L15,440603,-1.31
LY9,4063,-3.17E-01
CXXC1,30827,-4.11E-01
RNF44,22838,5.81E-01
SAP30L,79685,-3.09E-01
DKFZP564C152,26120,7.91E-01
TECTA,7007,-2.85E-01
ALAS1,211,-7.51E-01
IPO11,51194,8.26E-01
ZSCAN20,7579,-2.28E-01
ARHGEF7-AS2,100874238,-1.51E-01
TNFRSF13C,115650,-2.52E-01
Sep-01,1731,-3.93E-01
DOCK8,81704,-8.37E-01
LANCL1,10314,2.24E-01
CSNK1G1,53944,-4.44E-01
UCHL5,51377,7.97E-01
RPL36,25873,5.84E-01
CCDC18,343099,4.47E-01
NUDT1,4521,6.88E-01
SLIT3,6586,-8.22E-01
CRYGS,1427,2.60E-01
FAM222B,55731,-3.80E-01
COL14A1,7373,-1.3
MMS19,64210,4.70E-01
MKNK2,2872,-5.89E-01
DSCAM,1826,-1.66E-01
CSTF3-AS1,338739,-1.12E-01
MAFG-AS1,92659,2.67E-01
PCSK9,255738,1.22
DAAM1,23002,-5.72E-01
TASP1,55617,9.32E-01
TTF2,8458,9.97E-01
CAPN1,823,-6.64E-01
HIST1H4H,8365,-1.57E-01
PCDHA3,56145,-2.02E-01
PHYH,5264,-6.62E-01
ATP11B,23200,-8.95E-01
TTC28,23331,-2.26E-01
ITGB2-AS1,100505746,-5.02E-01
SETMAR,6419,6.54E-01
DLG3,1741,-5.38E-01
PYCRL,65263,6.39E-01
CCDC176,80127,-6.31E-01
UBA52,7311,3.36E-01
LPCAT1,79888,8.55E-01
STOML2,30968,8.27E-01
LOC100507395,100507395,3.71E-01
PSEN1,5663,-5.84E-01
TRAF3IP2,10758,-6.63E-01
POLR2I,5438,5.21E-01
SCLY,51540,6.35E-01
SFPQ,6421,6.17E-01
PHF7,51533,-3.42E-01
ALG5,29880,7.77E-01
CDKAL1,54901,2.16E-01
AMOTL2,51421,8.58E-01
GTSE1-AS1,150384,-1.89E-01
NSDHL,50814,6.68E-01
ABHD17B,51104,-4.43E-01
LOC100130548,100130548,-1.73E-01
ZZZ3,26009,5.91E-01
XRCC1,7515,2.91E-01
HPGDS,27306,-9.34E-01
MAP3K14,9020,-3.99E-01
CTTN,2017,-5.37E-01
EZH2,2146,1.27
MFAP2,4237,8.43E-01
PTGER3,5733,-1.60E-01
FAAH,2166,-6.34E-01
UBE3A,7337,-3.50E-01
MYPN,84665,-2.23E-01
NCBP1,4686,7.91E-01
DUSP26,78986,-2.78E-01
CHRNA4,1137,-2.51E-01
WDR72,256764,2.11
CUL4B,8450,5.23E-01
FCER2,2208,-3.48E-01
GSTCD,79807,2.84E-01
MAPKAPK2,9261,-2.31E-01
TK2,7084,5.78E-01
TCF25,22980,-3.43E-01
MOB1B,92597,5.82E-01
BCCIP,56647,8.23E-01
HNRNPU,3192,4.42E-01
ULK3,25989,-6.47E-01
RBM17,84991,5.40E-01
OXTR,5021,6.13E-01
ZNRD1,30834,5.53E-01
TUT1,64852,2.02E-01
ATP8B1,5205,-1.17
SLC3A2,6520,7.29E-01
NSA2,10412,5.84E-01
GPC5,2262,-2.61E-01
TUBGCP4,27229,6.30E-01
RNLS,55328,-1.97E-01
IGLL1,3543,-2.39E-01
PCDHA6,56142,-2.83E-01
ARHGAP21,57584,-5.28E-01
LINC00663,284440,-2.19E-01
SNRPB,6628,9.59E-01
SUB1,10923,5.93E-01
LINC00639,283547,-3.05E-01
YTHDF3-AS1,101410533,-2.34E-01
GPX3,2878,-2.28
CPD,1362,7.75E-01
FNDC3A,22862,6.74E-01
TBC1D14,57533,4.35E-01
RASAL2,9462,5.31E-01
LYSMD3,116068,-7.29E-01
SURF1,6834,-4.67E-01
ABCA5,23461,-9.73E-01
LGI4,163175,-4.07E-01
PEG3,5178,-1.69
ADH6,130,-1.23
C15orf37,283687,-3.61E-01
LAMA3,3909,-6.61E-01
PLA2G16,11145,1.32
MAGED2,10916,9.31E-01
KCNQ1OT1,10984,3.99E-01
LINC00968,100507632,-1.96E-01
RABGGTB,5876,6.99E-01
PCDHGC5,56097,-1.95E-01
ASCC3,10973,1.09
SLFN5,162394,2.44E-01
C7orf61,402573,-2.63E-01
EVL,51466,-8.30E-01
CEP112,201134,5.85E-01
MIR663AHG,284801,1
ZIC4,84107,-1.72E-01
SPTBN1,6711,-1.68E-01
SYTL2,54843,-1.05
GLUL,2752,-7.88E-01
VSX1,30813,-1.67E-01
KLHDC7A,127707,-2.29E-01
ZNF441,126068,2.21E-01
ANKRD54,129138,-3.65E-01
PF4,5196,9.89E-01
ZNF787,126208,-3.77E-01
OR2B6,26212,-1.48E-01
ZNF775,285971,-1.80E-01
HOOK3,84376,9.87E-01
PHLDB3,653583,-7.59E-01
GABBR2,9568,3.09E-01
KRT6B,3854,2.85
CPNE2,221184,-5.97E-01
LOC100506521,100506521,-2.12E-01
EXOC2,55770,7.45E-01
ZNRD1-AS1,80862,6.89E-01
LOC100505797,100505797,-1.30E-01
CAV1,857,-1.66
TMEM245,23731,5.47E-01
SEMA4F,10505,3.74E-01
SYNGAP1,8831,-2.55E-01
HSPB8,26353,-3.06E-01
ANKRD27,84079,5.57E-01
GTF2A1,2957,2.24E-01
UBASH3B,84959,3.06E-01
MAGEH1,28986,-1.13
ZNF780B,163131,2.40E-01
ICK,22858,-1.45E-01
TP53BP1,7158,4.49E-01
ZFP36L2,678,-6.90E-01
CUX1,1523,-5.81E-01
COBL,23242,-8.07E-01
LY86,9450,-7.16E-01
KCNC3,3748,-2.09E-01
TIMM10B,26515,3.71E-01
HTN3,3347,-1.59E-01
C1QTNF2,114898,-3.86E-01
NECAP1,25977,-5.76E-01
MKI67,4288,1.2
KANK1,23189,1.86E-01
LINC01206,100996490,-1.56E-01
RETSAT,54884,-1.4
DLEU2,8847,4.62E-01
CRIP1,1396,-1.5
SLC24A1,9187,1.78E-01
LARGE-AS1,100506195,-1.43E-01
EDEM3,80267,5.70E-01
ATXN7L3B,552889,3.92E-01
C2CD4A,145741,1.8
SLC25A48,153328,-2.17E-01
TMEM8A,58986,-4.39E-01
KLHL29,114818,4.29E-01
BCL2L12,83596,5.35E-01
LOC101929450,101929450,-1.77E-01
SHISA5,51246,3.96E-01
RRN3,54700,6.26E-01
ZNF639,51193,7.62E-01
MMP10,4319,1.34
STK32B,55351,-3.17E-01
LINC00961,158376,-2.77E-01
ZNF689,115509,4.90E-01
SLC22A18,5002,-1.19
SCD5,79966,-1.64E-01
ZNF35,7584,3.89E-01
CHMP2A,27243,-5.65E-01
SMC2,10592,8.75E-01
DNAH5,1767,1.89E-01
FABP4,2167,-1.48
HSPA1A,3303,-1.35
GOSR2,9570,6.69E-01
CSTF2T,23283,6.12E-01
RBP2,5948,9.73E-01
SRRM2,23524,-4.07E-01
TICRR,90381,6.15E-01
GRM8,2918,9.26E-01
TMEM25,84866,1.96E-01
ZNF589,51385,3.09E-01
C22orf15,150248,-2.50E-01
SYPL1,6856,4.92E-01
MZF1,7593,-5.03E-01
ZFAND5,7763,-2.16E-01
SLITRK5,26050,-3.67E-01
KIAA0195,9772,-4.16E-01
SRA1,10011,-5.01E-01
DNAJB4,11080,-1.06
SAMD8,142891,-4.49E-01
C17orf59,54785,-3.30E-01
PASK,23178,3.34E-01
CHSY1,22856,6.79E-01
SAT2,112483,-4.83E-01
FEV,54738,-2.48E-01
NFAM1,150372,-2.32E-01
CCP110,9738,4.12E-01
PLA2G4A,5321,-1.45
TPMT,7172,-6.85E-01
HACL1,26061,6.16E-01
STAMBPL1,57559,6.98E-01
ZNF282,8427,3.81E-01
PIP5K1C,23396,-6.01E-01
HSPG2,3339,-7.30E-01
LOC100505912,100505912,3.36E-01
SQLE,6713,8.84E-01
CD28,940,-1.77E-01
SLC27A4,10999,-7.70E-01
EMG1,10436,7.92E-01
TFDP1,7027,7.73E-01
FAM76A,199870,6.53E-01
SERPINB3,6317,1.62E-01
VIMP,55829,-7.02E-01
RBM3,5935,5.50E-01
QRSL1,55278,5.78E-01
IMPA1,3612,-8.87E-01
NEK6,10783,7.04E-01
LOC81691,81691,3.65E-01
FAM200B,285550,5.38E-01
RND2,8153,-2.32E-01
PNPLA4,8228,6.90E-01
PRSS58,136541,-2.17E-01
PDS5A,23244,2.74E-01
GSK3B,2932,5.06E-01
INAFM2,100505573,-1.02
PARS2,25973,5.24E-01
TMEM164,84187,-8.24E-01
OBSCN,84033,6.25E-01
NDUFA4,4697,4.13E-01
ZFYVE27,118813,-4.62E-01
MAPKAP1,79109,5.73E-01
EIF2AK4,440275,5.75E-01
SRPRB,58477,6.30E-01
GALR1,2587,-1.65E-01
MTURN,222166,3.75E-01
ZNF621,285268,4.91E-01
RAB40AL,282808,-2.64E-01
EP300-AS1,101927279,-1.18
RIMKLB,57494,-5.23E-01
NUMA1,4926,6.70E-01
NKAP,79576,5.19E-01
LRFN3,79414,-4.76E-01
RNGTT,8732,5.01E-01
UBAC2,337867,6.42E-01
STARD3NL,83930,3.59E-01
IYD,389434,9.47E-01
RNASEK,440400,-4.99E-01
KMT2C,58508,4.43E-01
SEC31A,22872,-5.89E-01
